French,English
partie,part
seulement,only
pensais,thought
genre,kind
mois,month
laisser,let
mettre,to put
laisse,leash
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
parle,speak
attention,Warning
voici,here is
type,type
donné,given
endroit,place
yeux,eyes
dont,whose
premier,first
main,hand
première,first
côté,side
pouvoir,power
sois,be
matin,morning
tellement,so much
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
gros,large
aura,will have
filles,girls
jouer,to play
